fid,LENGTH,FEATURES,y,x,mgrs
"41",1001.989,Highway,"27.80525661","84.90551013",45RTL9366977389
"41",1001.989,Highway,"27.80521760","84.90561003",45RTL9367977385
"41",1001.989,Highway,"27.80516960","84.90570477",45RTL9368877379
"41",1001.989,Highway,"27.80510578","84.90580383",45RTL9369777372
"41",1001.989,Highway,"27.80500358","84.90590764",45RTL9370777360
"41",1001.989,Highway,"27.80491964","84.90597862",45RTL9371477351
"41",1001.989,Highway,"27.80484272","84.90601096",45RTL9371777342
"41",1001.989,Highway,"27.80472519","84.90604360",45RTL9372077329
"41",1001.989,Highway,"27.80459203","84.90605201",45RTL9372177315
"41",1001.989,Highway,"27.80444546","84.90604128",45RTL9372077298
"41",1001.989,Highway,"27.80429224","84.90601147",45RTL9371677281
"41",1001.989,Highway,"27.80410315","84.90594774",45RTL9371077261
"41",1001.989,Highway,"27.80382416","84.90583126",45RTL9369877230
"41",1001.989,Highway,"27.80359239","84.90573927",45RTL9368877204
"41",1001.989,Highway,"27.80350450","84.90572395",45RTL9368777195
"41",1001.989,Highway,"27.80344128","84.90573294",45RTL9368777188
"41",1001.989,Highway,"27.80336442","84.90575640",45RTL9368977179
"41",1001.989,Highway,"27.80325792","84.90582656",45RTL9369677167
"42",128.8571,Highway,"27.80303665","84.93630370",45RTL9669977092
"42",128.8571,Highway,"27.80354078","84.93748207",45RTL9681677146
"43",564.7349,Highway,"27.80307207","84.87266731",45RTL9042877203
"43",564.7349,Highway,"27.80341028","84.87305629",45RTL9046777240
"43",564.7349,Highway,"27.80376079","84.87363946",45RTL9052577277
"43",564.7349,Highway,"27.80395270","84.87397400",45RTL9055977298
"43",564.7349,Highway,"27.80401893","84.87420287",45RTL9058277305
"43",564.7349,Highway,"27.80406023","84.87445058",45RTL9060677309
"43",564.7349,Highway,"27.80412670","84.87464140",45RTL9062577316
"43",564.7349,Highway,"27.80418409","84.87484166",45RTL9064577322
"43",564.7349,Highway,"27.80429295","84.87510893",45RTL9067177334
"43",564.7349,Highway,"27.80444464","84.87538099",45RTL9069877350
"43",564.7349,Highway,"27.80458946","84.87566758",45RTL9072777366
"43",564.7349,Highway,"27.80473203","84.87595416",45RTL9075577381
"43",564.7349,Highway,"27.80484534","84.87623098",45RTL9078377393
"43",564.7349,Highway,"27.80492300","84.87643648",45RTL9080377401
"43",564.7349,Highway,"27.80498285","84.87660315",45RTL9082077408
"43",564.7349,Highway,"27.80503140","84.87677480",45RTL9083777413
"43",564.7349,Highway,"27.80506391","84.87698437",45RTL9085877416
"43",564.7349,Highway,"27.80513102","84.87778413",45RTL9093777422
"44",237.4004,Highway,"27.80214226","84.93411731",45RTL9648276996
"44",237.4004,Highway,"27.80283104","84.93568352",45RTL9663777070
"44",237.4004,Highway,"27.80303665","84.93630370",45RTL9669977092
"45",32.48197,Highway,"27.80199756","84.93383065",45RTL9645376981
"45",32.48197,Highway,"27.80214226","84.93411731",45RTL9648276996
"46",327.2204,Highway,"27.80105347","84.97895104",45RUL0089876802
"46",327.2204,Highway,"27.80115178","84.97940478",45RUL0094376812
"46",327.2204,Highway,"27.80118450","84.97956174",45RUL0095876816
"46",327.2204,Highway,"27.80119723","84.97967602",45RUL0096976817
"46",327.2204,Highway,"27.80119723","84.97967602",45RUL0096976817
"46",327.2204,Highway,"27.80119629","84.97980921",45RUL0098276817
"46",327.2204,Highway,"27.80114182","84.98080768",45RUL0108176809
"46",327.2204,Highway,"27.80110523","84.98151328",45RUL0115076804
"46",327.2204,Highway,"27.80106390","84.98224865",45RUL0122376798
"47",581.4604,Highway,"27.80106390","84.98224865",45RUL0122376798
"47",581.4604,Highway,"27.80107616","84.98274602",45RUL0127276798
"47",581.4604,Highway,"27.80109665","84.98367096",45RUL0136376799
"47",581.4604,Highway,"27.80109665","84.98367096",45RUL0136376799
"47",581.4604,Highway,"27.80108912","84.98472694",45RUL0146776797
"47",581.4604,Highway,"27.80102049","84.98549250",45RUL0154276788
"47",581.4604,Highway,"27.80085992","84.98712744",45RUL0170376767
"47",581.4604,Highway,"27.80070618","84.98811994",45RUL0180076749
"48",18.98991,Highway,"27.80148154","84.87266729",45RTL9042577026
"48",18.98991,Highway,"27.80146340","84.87268109",45RTL9042777024
"48",18.98991,Highway,"27.80140152","84.87283409",45RTL9044277017
"49",81.59039,Highway,"27.80070618","84.98811994",45RUL0180076749
"49",81.59039,Highway,"27.80062679","84.98849533",45RUL0183776739
"49",81.59039,Highway,"27.80060567","84.98860931",45RUL0184876737
"49",81.59039,Highway,"27.80054249","84.98892713",45RUL0188076729
"50",220.1137,Highway,"27.80057923","84.97678777",45RUL0068476753
"50",220.1137,Highway,"27.80061071","84.97712104",45RUL0071676756
"50",220.1137,Highway,"27.80065172","84.97738336",45RUL0074276760
"50",220.1137,Highway,"27.80069091","84.97758350",45RUL0076276764
"50",220.1137,Highway,"27.80076586","84.97783153",45RUL0078776772
"50",220.1137,Highway,"27.80091519","84.97840814",45RUL0084476788
"50",220.1137,Highway,"27.80105347","84.97895104",45RUL0089876802
"51",785.0264,Highway,"27.80351791","84.97083918",45RUL0010377088
"51",785.0264,Highway,"27.80341212","84.97080526",45RUL0009977077
"51",785.0264,Highway,"27.80332417","84.97079940",45RUL0009977067
"51",785.0264,Highway,"27.80324750","84.97079428",45RUL0009877058
"51",785.0264,Highway,"27.80317525","84.97080315",45RUL0009977050
"51",785.0264,Highway,"27.80308259","84.97082579",45RUL0010177040
"51",785.0264,Highway,"27.80298081","84.97086295",45RUL0010477029
"51",785.0264,Highway,"27.80272263","84.97100336",45RUL0011877000
"51",785.0264,Highway,"27.80240308","84.97120983",45RUL0013776964
"51",785.0264,Highway,"27.80203353","84.97146850",45RUL0016276923
