id,X,Y,Z,length,bridge,tunnel,grade,hz. angle,speed,time,
1804,538644.2145,3100538.433,468.081,89.36831627,0,0,1.524030056,18.42832765,80,4.021574232,127099.7411
1805,538604.2432,3100578.357,468.293,56.49491609,0,0,0.375255005,18.42761009,80,2.542271224,127156.236
1806,538564.2719,3100618.282,469,56.49964865,0,0,1.251335215,0.000717552,80,2.542484189,127212.7357
1807,538484.3292,3100658.207,468.359,89.36023606,0,0,-0.717321292,18.42832765,80,4.021210623,127302.0959
1808,538404.3866,3100698.131,470.333,89.37920198,0,0,2.208567492,0.000544989,80,4.022064089,127391.4751
1809,538324.4439,3100738.056,470.772,89.35901538,0,0,0.491276675,0.000544989,80,4.021155692,127480.8341
1810,538244.5012,3100777.981,471.334,89.3597043,0,0,0.628918822,0,80,4.021186693,127570.1938
1811,538204.5299,3100777.981,473.32,40.02060744,0,0,4.962443419,26.53846939,67.92718021,2.121009386,127610.2144
1812,538164.5586,3100777.981,475.015,40.00722246,0,0,4.236735009,0,80,1.800325011,127650.2217
1813,538124.5873,3100857.83,474.133,89.2991912,0,0,-0.987690917,63.40808999,42.22260667,7.613861712,127739.5209
1814,538044.6446,3100897.755,474.847,89.36078952,0,0,0.79900816,36.8696206,80,4.021235529,127828.8817
1815,537964.702,3100937.679,476.243,89.36830471,0,0,1.562075061,0.000544989,80,4.021573712,127918.25
1816,537924.7306,3100977.604,475.629,56.49863219,0,0,-1.086751973,18.42880096,80,2.542438448,127974.7486
1817,537844.788,3101017.528,476.174,89.35906275,0,0,0.609898966,18.42880096,80,4.021157824,128064.1077
1818,537764.8453,3101057.453,476.27,89.35798859,0,0,0.107433036,0.000544989,80,4.021109486,128153.4656
1819,537684.9027,3101097.378,475.939,89.3584606,0,0,-0.370418199,2.86E-05,80,4.021130727,128242.8241
1820,537644.9314,3101137.302,476.483,56.49713741,0,0,0.962880643,18.42758145,80,2.542371184,128299.3212
1821,537564.9887,3101177.227,476.644,89.35808206,0,0,0.180173966,18.4276101,80,4.021113693,128388.6793
1822,537525.0174,3101217.152,477.458,56.50108888,0,0,1.440680199,18.42832765,80,2.542549,128445.1804
1823,537485.0461,3101257.076,478.746,56.50919875,0,0,2.279274929,0.00071755,80,2.542913944,128501.6896
1824,537445.0747,3101297.001,480.188,56.51369575,0,0,2.551593876,0.00064588,80,2.543116309,128558.2033
1825,537405.1034,3101376.85,480.548,89.29556106,0,0,0.403155538,18.44136463,80,4.018300248,128647.4989
1826,537365.1321,3101456.7,481.616,89.30211614,0,0,1.195940305,0.000287221,80,4.018595226,128736.801
1827,537325.1607,3101536.549,481.227,89.29572745,0,0,-0.435631145,0.000344596,80,4.018307735,128826.0967
1828,537285.1894,3101616.398,482.085,89.29895738,0,0,0.960817489,5.74E-05,80,4.018453082,128915.3957
1829,537245.2181,3101656.323,481.472,56.49855058,0,0,-1.084983586,18.44129296,80,2.542434776,128971.8942
1830,537205.2468,3101736.172,482.09,89.29697391,0,0,0.692072724,18.44129296,80,4.018363826,129061.1912
1831,537165.2754,3101776.097,482.086,56.4952959,0,0,-0.007080236,18.44136463,80,2.542288316,129117.6865
1832,537125.3041,3101816.021,483.384,56.50942756,0,0,2.296961863,0.000645881,80,2.54292424,129174.1959
1833,537085.3328,3101855.946,483.996,56.49853974,0,0,1.083213837,0.000717551,80,2.542434288,129230.6945
1834,537005.3901,3101895.871,484.919,89.36270384,0,0,1.032869374,18.42832765,80,4.021321673,129320.0572
1835,536965.4188,3101975.72,486.857,89.31586348,0,0,2.169827312,36.8696206,80,4.019213856,129409.373
1836,536925.4475,3102015.645,485.755,56.50597183,0,0,-1.950236345,18.44129296,80,2.542768732,129465.879
1837,536885.4762,3102095.494,485.694,89.29485621,0,0,-0.068313005,18.44129296,80,4.018268529,129555.1738
1838,536847.6696,3102151.325,489.453,67.53198979,0,0,5.566250915,7.512432289,80,3.038939541,129622.7058
1839,536820.2577,3102213.711,490.596,68.15226854,0,0,1.677126858,10.38404703,80,3.066852084,129690.8581
1840,536748.4195,3102295.947,505.263,110.1753492,0,0,13.31241526,17.41891488,80,4.957890713,129801.0335
1841,536649.1693,3102375.347,504.874,127.1027676,0,0,-0.306051558,10.20103792,80,5.71962454,129928.1362
1842,536612.3049,3102471.762,499.084,103.3845265,0,0,-5.600451245,30.41582867,80,4.652303691,130031.5208
1843,536605.6883,3102583.3,496.793,111.7575658,0,0,-2.049973067,17.52952709,80,5.029090462,130143.2783
1844,536626.4835,3102649.467,495.424,69.3713658,0,0,-1.973436712,20.84196815,80,3.121711461,130212.6497
1845,536645.6482,3102734.288,493.01,86.99261557,0,0,-2.774948177,4.715283489,80,3.9146677,130299.6423
1846,536645.6482,3102774.213,494.001,39.93729718,0,0,2.481389753,12.73179235,80,1.797178373,130339.5796
1847,536645.6482,3102814.138,494.314,39.92622689,0,0,0.783945853,0,80,1.79668021,130379.5058
1848,536645.6482,3102854.062,494.997,39.92984179,0,0,1.710500141,0,80,1.79684288,130419.4357
1849,536645.6482,3102893.987,494.099,39.93509771,0,0,-2.248648561,0,80,1.797079397,130459.3708
1850,536645.6482,3102933.912,495.21,39.940455,0,0,2.78164082,0,80,1.797320475,130499.3112
1851,536605.6769,3103013.761,497.613,89.32716291,0,0,2.690111184,26.59191001,67.83793012,4.740383232,130588.6384
1852,536593.1638,3103052.611,499.745,40.87108508,0,0,5.216401756,8.738808336,80,1.839198829,130629.5095
1853,536586.0745,3103089.003,501.371,37.11171937,0,0,4.381365314,6.829722538,80,1.670027372,130666.6212
1854,536565.7056,3103173.46,499.767,86.89332398,0,0,-1.845941583,2.535982224,80,3.910199579,130753.5145
1855,536565.7056,3103213.384,501.794,39.97542376,0,0,5.070615416,13.55936136,80,1.798894069,130793.4899
1856,536565.7056,3103253.309,501.949,39.92530088,0,0,0.388225002,0,80,1.796638539,130833.4152
1857,536552.0459,3103298.846,503.081,47.55509644,0,0,2.380396813,16.69762815,80,2.13997934,130880.9703
1858,536518.0173,3103359.342,505.496,69.45173762,0,0,3.477234815,12.65983761,80,3.125328193,130950.4221
1859,536445.7916,3103413.007,504.556,89.98537418,0,0,-1.044614204,24.02951836,80,4.049341838,131040.4074
1860,536400.8076,3103465.208,505.945,68.9233921,0,0,2.015280963,12.63399798,80,3.101552644,131109.3308
1861,536365.8489,3103492.857,505.913,44.57105485,0,0,-0.071795474,10.90637603,80,2.005697468,131153.9019
1862,536325.8776,3103572.706,507.248,89.30481426,0,0,1.494880216,25.06745216,74.6644495,4.305895691,131243.2067
1863,536285.9063,3103652.555,508.833,89.30890129,0,0,1.77473911,0,80,4.018900558,131332.5156
1864,536205.9636,3103692.48,511.205,89.38941376,0,0,2.653558067,36.8696206,80,4.022523619,131421.905
