id,lat,lon,alt,x,y,z,length,grade,hz. angle
2174,27.9265041,84.4844655,362.0,541683.1380437411,5609652.103208319,2967314.77898093,42.95776248342433,-8.380324746637159,4.193450765983937
2175,27.9262357,84.4848369,360.9,541648.0268953124,5609668.57558037,2967288.039806155,47.107486162950345,-2.3350853327112238,3.2751995361165918
2176,27.9260895,84.4850872,360.4,541624.2108028476,5609678.089019432,2967273.521152381,29.470376490465895,-1.6966189765568738,3.359143006904517
2177,27.9260606,84.485184,360.0,541614.8442065882,5609680.152040886,2967270.510139823,10.05263048313045,-3.979058025371831,9.353200129802529
2178,27.9260005,84.4853521,360.0,541598.6870888369,5609684.859917487,2967264.6380561264,17.824082670968107,0.0,3.823870049697907
2179,27.9259696,84.4856755,359.4,541567.1276690578,5609688.992683878,2967261.337965369,31.99948958723343,-1.8750299074751484,8.784577784651464
2180,27.9259051,84.4865156,360.3,541485.2749794736,5609701.071523973,2967255.4574702797,82.94782331505556,1.0850194303250371,0.9339020089753924
2181,27.9257994,84.4871531,359.9,541423.3542090184,5609712.229441724,2967244.9426799635,63.79060869508517,-0.6270515490955844,1.820447295332942
2182,27.9256117,84.487711,361.4,541369.7986641735,5609728.560851344,2967227.3058426348,58.70237946438875,2.555262688985139,6.743849524104795
2183,27.9254709,84.4882091,357.5,541321.4046433392,5609737.143748152,2967211.7224240983,51.560549874948,-7.563922435774664,6.901651988760951
2184,27.9254301,84.4886103,353.6,541281.997126505,5609739.621403385,2967205.909575454,39.91090537501571,-9.77176529410777,6.459484210427018
2185,27.9254122,84.4890259,352.8,541241.3281093943,5609743.772810602,2967203.7859865385,40.935470737642554,-1.9542953472484799,2.230841572788525
2186,27.925374,84.4898262,353.9,541163.2564433431,5609754.282014902,2967200.568782653,78.84147903144934,1.3952046733689296,1.8380409333083199
2187,27.925334,84.4904888,359.0,541099.0149736336,5609767.10103072,2967199.048987907,65.52559326761498,7.783218351295141,3.6183370911572585
2188,27.925286,84.4914964,358.6,541000.5681693343,5609778.75500621,2967194.1717789317,99.25409608088466,-0.4030060378304258,4.533657805699048
2189,27.9252278,84.4921665,357.6,540935.1656627543,5609787.222603499,2967188.016976816,66.2349579895516,-1.5097767558903676,0.625827621081859
