fid,field_1,Name,osm_id,code,fclass,ref,oneway,maxspeed,bridge,tunnel,len,distance,angle,y,x,z
"865","6593",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,57.54242292,0.00054827,135.7759176,27.978923,84.2104894,504.9
"866","6595",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,42.55895544,0.000409421,131.1477473,27.9786536,84.2107977,503.7
"867","6597",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,18.75593198,0.00018602,115.6421165,27.9785731,84.2109654,504.1
"868","6599",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,28.22642277,0.000281756,111.7485432,27.9784687,84.2112271,505
"869","6601",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,63.45911149,0.000638521,106.0279777,27.9782924,84.2118408,507.1
"870","6603",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,74.77895407,0.000755319,102.5403266,27.9781284,84.2125781,510.3
"871","6605",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,51.97247171,0.000526176,99.92597735,27.9780377,84.2130964,504.9
"872","6607",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,72.4869763,0.000733475,100.5822262,27.977903,84.2138174,500.9
"873","6609",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,65.15274396,0.000662234,90.57968684,27.9778963,84.2144796,503.2
"874","6611",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,81.21125506,0.000825327,92.04838182,27.9778668,84.2153044,501.9
"875","6613",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,29.26182223,0.000297382,87.99585107,27.9778772,84.2156016,499.1
"876","6615",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,15.83466194,0.000159853,76.91135449,27.9779134,84.2157573,496.9
"877","6617",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,22.86101528,0.000228582,69.35300917,27.977994,84.2159712,496.8
"878","6619",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,75.48748782,0.000754662,69.24757279,27.9782614,84.2166769,498.7
"879","6621",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,19.66202527,0.000197971,74.53166035,27.9783142,84.2168677,499.4
"880","6623",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,16.36554051,0.000165916,81.99687411,27.9783373,84.217032,499.5
"881","6625",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,36.8808538,0.000374712,86.72602277,27.9783587,84.2174061,497.4
"882","6627",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,119.8990517,0.001218289,87.07347929,27.9784209,84.2186228,503.7
"883","6629",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,106.8472329,0.001085934,88.37999846,27.9784516,84.2197083,492.2
"884","6631",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,176.2081432,0.001790887,88.41294614,27.9785012,84.2214985,489.7
"885","6633",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,131.1548329,0.001333057,88.87383245,27.9785274,84.2228313,485.9
"886","6635",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,239.0896469,0.002429994,88.44598166,27.9785933,84.2252604,488
"887","6637",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,18.4697904,0.000187729,88.99277254,27.9785966,84.2254481,488.1
"888","6639",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,28.02425387,0.000284842,89.01432015,27.9786015,84.2257329,487.4
"889","6641",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,79.28898194,0.000805886,88.76993336,27.9786188,84.2265386,486.4
"890","6643",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,20.48878421,0.000208246,88.7893184,27.9786232,84.2267468,485.9
"892","6647",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,55.18441124,0.000557899,101.6019779,27.9785147,84.2274643,486.4
"893","6649",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,76.57440481,0.000770378,106.1435868,27.9783005,84.2282043,479.7
"894","6651",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,32.66391576,0.0003284,106.6691642,27.9782063,84.2285189,479.4
"895","6653",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,22.91753019,0.000232914,88.20394252,27.9782136,84.2287517,478.9
"896","6655",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,169.7640579,0.001719555,80.70968074,27.9784912,84.2304487,485.7
