id,fid,X,Y,Z,name,ref,oneway,maxspeed,bridge,tunnel
264,163,509253.9137,3111180.674,627,Prithvi Highway,H04,B,0,F,F
265,163,509279.9403,3111087.104,626.9,Prithvi Highway,H04,B,0,F,F
266,163,509304.2884,3110992.158,623.3,Prithvi Highway,H04,B,0,F,F
267,163,509308.925,3110915.426,624.8,Prithvi Highway,H04,B,0,F,F
268,163,509306.3295,3110866.147,623.1,Prithvi Highway,H04,B,0,F,F
269,163,509304.9429,3110816.293,621,Prithvi Highway,H04,B,0,F,F
270,163,509299.0647,3110717.113,622.8,Prithvi Highway,H04,B,0,F,F
271,163,509296.0753,3110669.009,622.8,Prithvi Highway,H04,B,0,F,F
272,163,509291.6223,3110620.515,623.1,Prithvi Highway,H04,B,0,F,F
273,163,509262.9562,3110306.082,611.2,Prithvi Highway,H04,B,0,F,F
274,163,509254.6437,3110215.987,610.9,Prithvi Highway,H04,B,0,F,F
275,163,509250.8526,3110175.218,609.3,Prithvi Highway,H04,B,0,F,F
276,163,509247.1838,3110154.638,608.3,Prithvi Highway,H04,B,0,F,F
277,163,509242.0008,3110135.464,607.4,Prithvi Highway,H04,B,0,F,F
278,163,509229.6943,3110103.763,606.5,Prithvi Highway,H04,B,0,F,F
279,163,509215.2729,3110075.174,604.3,Prithvi Highway,H04,B,0,F,F
280,163,509179.4222,3110021.15,601.7,Prithvi Highway,H04,B,0,F,F
281,163,509144.7388,3109969.287,601.4,Prithvi Highway,H04,B,0,F,F
282,163,509124.5686,3109941.725,601.7,Prithvi Highway,H04,B,0,F,F
283,163,509062.8072,3109848.82,597.4,Prithvi Highway,H04,B,0,F,F
284,163,508998.6776,3109754.995,594.1,Prithvi Highway,H04,B,0,F,F
285,163,508908.0192,3109619.264,589.5,Prithvi Highway,H04,B,0,F,F
286,163,508881.1442,3109581.769,591.1,Prithvi Highway,H04,B,0,F,F
287,163,508849.0281,3109549.534,591.5,Prithvi Highway,H04,B,0,F,F
288,163,508814.0025,3109518.836,591.7,Prithvi Highway,H04,B,0,F,F
289,163,508750.7128,3109468.118,594.7,Prithvi Highway,H04,B,0,F,F
290,163,508741.0415,3109458.36,593.3,Prithvi Highway,H04,B,0,F,F
291,163,508732.7466,3109447.605,590,Prithvi Highway,H04,B,0,F,F
292,163,508717.4856,3109422.418,586.3,Prithvi Highway,H04,B,0,F,F
293,163,508687.0998,3109359.978,580.9,Prithvi Highway,H04,B,0,F,F
294,163,508639.3177,3109261.922,583.4,Prithvi Highway,H04,B,0,F,F
295,163,508591.3884,3109162.415,582.9,Prithvi Highway,H04,B,0,F,F
296,163,508559.6664,3109097.879,586.2,Prithvi Highway,H04,B,0,F,F
297,163,508540.8931,3109063.903,580.4,Prithvi Highway,H04,B,0,F,F
298,163,508519.9081,3109031,582,Prithvi Highway,H04,B,0,F,F
299,163,508476.4599,3108970.834,576.1,Prithvi Highway,H04,B,0,F,F
300,163,508452.1622,3108939.314,577.1,Prithvi Highway,H04,B,0,F,F
301,163,508428.9452,3108907.839,579.4,Prithvi Highway,H04,B,0,F,F
302,163,508408.8522,3108877.142,578.7,Prithvi Highway,H04,B,0,F,F
303,163,508389.9383,3108846.48,577.9,Prithvi Highway,H04,B,0,F,F
304,163,508353.705,3108780.623,579.2,Prithvi Highway,H04,B,0,F,F
305,163,508322.2368,3108715.18,577.3,Prithvi Highway,H04,B,0,F,F
306,163,508305.6335,3108667.21,576.2,Prithvi Highway,H04,B,0,F,F
307,163,508295.4267,3108619.489,573.7,Prithvi Highway,H04,B,0,F,F
308,163,508284.0918,3108554.447,570.8,Prithvi Highway,H04,B,0,F,F
309,163,508276.8748,3108517.221,570.7,Prithvi Highway,H04,B,0,F,F
310,163,508271.0028,3108496.485,569.8,Prithvi Highway,H04,B,0,F,F
311,163,508262.6633,3108477.165,566.9,Prithvi Highway,H04,B,0,F,F
312,163,508253.6132,3108462.521,565.3,Prithvi Highway,H04,B,0,F,F
313,163,508235.3319,3108439.306,562.3,Prithvi Highway,H04,B,0,F,F
314,163,508215.9689,3108417.264,559.4,Prithvi Highway,H04,B,0,F,F
315,163,508194.2385,3108393.791,557.1,Prithvi Highway,H04,B,0,F,F
316,163,508175.0136,3108370.774,553.5,Prithvi Highway,H04,B,0,F,F
317,163,508170.8021,3108364.666,552.3,Prithvi Highway,H04,B,0,F,F
318,163,508168.3006,3108358.237,551.5,Prithvi Highway,H04,B,0,F,F
319,163,508166.8611,3108350.635,550.7,Prithvi Highway,H04,B,0,F,F
